sample,agegroup,diff_cum
36,50-59,43113.178199921276
36,60-69,109490.57052629135
36,70-79,81145.2471216533
36,80+,65405.53777380701
37,50-59,34135.72728280733
37,60-69,86443.37364620579
37,70-79,83582.88223072415
37,80+,60161.563525838916
38,50-59,33342.252848432545
38,60-69,85526.61782430456
38,70-79,84271.69482024694
38,80+,62217.67391227317
39,50-59,35154.32548163459
39,60-69,79654.11744497674
39,70-79,81469.2011672454
39,80+,65734.86033688817
40,50-59,37271.28796128435
40,60-69,116717.92204674528
40,70-79,82110.68279854937
40,80+,59296.78551013873
41,50-59,32366.19014638356
41,60-69,74460.39384471609
41,70-79,85924.51611680744
41,80+,64508.04456298593
42,50-59,33499.954263467574
42,60-69,108253.9634499918
42,70-79,83492.37962629144
42,80+,57491.40300397737
43,50-59,32655.196664809082
43,60-69,96212.55652719957
43,70-79,82533.65261513698
43,80+,64307.98373760452
44,50-59,34659.65483643256
44,60-69,98344.80071232538
44,70-79,83456.19616275874
44,80+,58670.5722821715
45,50-59,38221.44955115949
45,60-69,90306.40465510152
45,70-79,84243.98225307812
45,80+,60807.95819794018
46,50-59,32793.16348270543
46,60-69,113281.64837929027
46,70-79,88025.39899397267
46,80+,60629.11932866537
47,50-59,37167.98683829152
47,60-69,106689.00262667959
47,70-79,85655.98547444236
47,80+,61562.92951822484
48,50-59,33904.34092752009
48,60-69,83271.7382056444
48,70-79,79662.59514065381
48,80+,60673.23053566872
49,50-59,33234.571635414926
49,60-69,139633.14359609512
49,70-79,88239.25067688449
49,80+,58105.786188794955
50,50-59,28834.07045082383
50,60-69,118434.09042596986
50,70-79,81004.88990370916
50,80+,63258.958208869335
51,50-59,33937.974234183785
51,60-69,98147.78378179169
51,70-79,81146.80220500827
51,80+,64799.65485969682
52,50-59,32523.972531484895
52,60-69,116140.74110079254
52,70-79,89046.6984333948
52,80+,63797.009668891566
53,50-59,32849.75371675987
53,60-69,98365.56867649581
53,70-79,82818.5476604366
53,80+,62224.036119061006
54,50-59,35792.82294029022
54,60-69,89615.63424670685
54,70-79,86970.91080565148
54,80+,64368.83137958609
55,50-59,32443.01592190137
55,60-69,82956.73083718165
55,70-79,80691.56132659705
55,80+,62810.92226084459
56,50-59,35528.99800202913
56,60-69,84108.768806023
56,70-79,82775.89485399042
56,80+,65948.94721804814
57,50-59,37520.90061719245
57,60-69,128125.40725495895
57,70-79,83948.0429709592
57,80+,64029.623814837956
58,50-59,35568.21845912813
58,60-69,89737.50100870007
58,70-79,86737.92655021953
58,80+,63429.97147478979
59,50-59,35218.01624355895
59,60-69,95082.02616516224
59,70-79,81289.06044675749
59,80+,65485.87177940447
60,50-59,36994.805479201445
60,60-69,110026.32008749973
60,70-79,83455.74810020438
60,80+,64962.28869504882
61,50-59,36929.34568302369
61,60-69,119930.61599394758
61,70-79,79076.00712364532
61,80+,61878.837670829285
62,50-59,40338.18335992905
62,60-69,103228.22841304197
62,70-79,87562.59689478365
62,80+,62584.499003849465
63,50-59,36262.779718323654
63,60-69,93646.40974619001
63,70-79,84321.08245863154
63,80+,67580.98654312525
64,50-59,33365.32403966621
64,60-69,92481.25766056121
64,70-79,79529.46235684406
64,80+,62254.64138980534
65,50-59,39080.98918074361
65,60-69,103596.92657417379
65,70-79,88689.74870936235
65,80+,65756.74738125986
66,50-59,34556.82939580165
66,60-69,105621.65104582052
66,70-79,82220.69434112072
66,80+,59370.342360218834
67,50-59,34534.77073676955
67,60-69,139870.57515560224
67,70-79,82032.19085634549
67,80+,67117.88750387052
68,50-59,38866.90079730289
68,60-69,72835.0652741825
68,70-79,85465.45639441496
68,80+,65355.11599514386
69,50-59,31992.429551747526
69,60-69,98450.80328437669
69,70-79,77200.15959580545
69,80+,61702.62727818166
70,50-59,35805.86525475938
70,60-69,94061.10108562694
70,70-79,79648.38261221789
70,80+,65092.299848731454
71,50-59,34862.60448343621
71,60-69,82209.2243950797
71,70-79,86803.49311083557
71,80+,61563.88656294382
72,50-59,35910.5400722727
72,60-69,102179.50768747856
72,70-79,82267.50641485122
72,80+,66334.7104007063
73,50-59,34854.06405280792
73,60-69,72269.92306635776
73,70-79,83486.15781887168
73,80+,64092.179574053065
74,50-59,34400.256871716985
74,60-69,117460.74734078096
74,70-79,83092.85827222448
74,80+,61772.88010294874
75,50-59,29736.81565187836
75,60-69,105664.32381090047
75,70-79,83471.96081432357
75,80+,63073.30800723484
76,50-59,36846.71025288842
76,60-69,123745.93028893047
76,70-79,77922.76981909949
76,80+,64246.27545260778
77,50-59,36985.01712488656
77,60-69,113101.4346236409
77,70-79,87275.83777429855
77,80+,60305.31296940306
78,50-59,33804.15417583094
78,60-69,75656.16484907956
78,70-79,84790.34724532731
78,80+,61395.69939610812
79,50-59,28537.960083878683
79,60-69,90799.1874008205
79,70-79,85584.82606089133
79,80+,64837.9523714765
80,50-59,33281.18532733585
80,60-69,84037.38591197855
80,70-79,86489.1526521303
80,80+,62297.27478262069
81,50-59,37198.81048322046
81,60-69,51661.30288313264
81,70-79,80450.8948962007
81,80+,63041.359277534466
82,50-59,36078.68633238886
82,60-69,129592.61938836261
82,70-79,81817.44780591641
82,80+,62315.26367262085
83,50-59,32330.826034424095
83,60-69,104420.51850762965
83,70-79,86971.99847092308
83,80+,60442.00797370311
84,50-59,32304.146948613303
84,60-69,68128.55517563445
84,70-79,82535.94260448338
84,80+,64216.04987422919
85,50-59,31943.23423732656
85,60-69,99262.5477418474
85,70-79,85448.29573286427
85,80+,64931.572390715126
86,50-59,36524.81477222422
86,60-69,100540.92064448452
86,70-79,84027.80460995223
86,80+,64028.90708145029
87,50-59,36347.50833946038
87,60-69,80069.56204322344
87,70-79,85022.16069625667
87,80+,61144.243502893034
88,50-59,29476.910386287484
88,60-69,67184.0159581964
88,70-79,79071.29776188392
88,80+,64029.652555751614
89,50-59,33572.8589495152
89,60-69,65410.74306829081
89,70-79,81972.37341175214
89,80+,64881.29344758891
90,50-59,32780.242574402655
90,60-69,97485.62634878785
90,70-79,83444.11280723184
90,80+,64308.94852111945
91,50-59,35620.24751839465
91,60-69,98639.75529155685
91,70-79,82303.3239610511
91,80+,66241.68309436229
92,50-59,29587.95056610695
92,60-69,117237.34161560069
92,70-79,89608.63224174548
92,80+,62924.752402382706
93,50-59,37858.44651415951
93,60-69,107561.18991102309
93,70-79,79170.66877459416
93,80+,65141.785560816694
94,50-59,34001.364240761344
94,60-69,67727.82007189345
94,70-79,80825.25303167397
94,80+,63662.98550761517
95,50-59,34467.31884236573
95,60-69,100858.09989836726
95,70-79,84061.75882387998
95,80+,59200.2389544889
96,50-59,30984.564853800708
96,60-69,89942.26397405668
96,70-79,80107.91937118511
96,80+,62179.24087516937
97,50-59,37019.74793980444
97,60-69,83070.54921284056
97,70-79,85116.34688388494
97,80+,63323.20748777276
98,50-59,23217.87985823344
98,60-69,131022.64229603301
98,70-79,82332.56078226081
98,80+,63726.8880489733
99,50-59,37506.24505497001
99,60-69,71534.6046082854
99,70-79,84894.7043020813
99,80+,65797.80037152566
100,50-59,34130.28773711855
100,60-69,102210.93824501046
100,70-79,87373.9452853335
100,80+,62202.77316826791
101,50-59,34561.12409990361
101,60-69,126242.22405901105
101,70-79,81317.37137272272
101,80+,62300.68494413475
102,50-59,35453.10287372126
102,60-69,105191.3522943472
102,70-79,82396.0801073058
102,80+,62456.116215704205
103,50-59,35229.78781325414
103,60-69,116937.48332722267
103,70-79,81830.6001178319
103,80+,61845.45515582472
104,50-59,37087.84431216841
104,60-69,87479.54869471541
104,70-79,79352.0734115477
104,80+,61904.84092032375
105,50-59,33813.40775631463
105,60-69,77915.32836505755
105,70-79,82003.52857918412
105,80+,62785.21292461381
106,50-59,28764.89410398948
106,60-69,68106.05857618252
106,70-79,81278.93868196328
106,80+,62616.93135152894
107,50-59,30660.57713400897
107,60-69,95417.40411129556
107,70-79,82362.60037064056
107,80+,68147.66701278447
108,50-59,33879.97891225834
108,60-69,59388.521194629466
108,70-79,84208.23783546203
108,80+,64106.48150801207
109,50-59,33092.17358265969
109,60-69,110010.65131116925
109,70-79,87418.6352503719
109,80+,64732.887418648286
110,50-59,41227.01054194684
110,60-69,109413.40292155014
110,70-79,78711.50090908082
110,80+,58806.792947774564
111,50-59,36988.48426482701
111,60-69,113592.80278209857
111,70-79,78971.37000926328
111,80+,65601.98919075598
112,50-59,32100.54442201135
112,60-69,74086.28157443622
112,70-79,81313.97696686944
112,80+,66622.11577293757
113,50-59,30551.68001797147
113,60-69,140300.40836449832
113,70-79,88918.22895295332
113,80+,62106.09516787022
114,50-59,37687.6458525165
114,60-69,49636.1378521229
114,70-79,84260.85941149325
114,80+,66516.07163120194
115,50-59,28288.947732216035
115,60-69,94796.94047087069
115,70-79,83298.24994291189
115,80+,62580.25550240498
116,50-59,34813.43237481481
116,60-69,83908.88961098541
116,70-79,87926.20632333649
116,80+,61818.30564574944
117,50-59,36086.78553795958
117,60-69,127077.67216431731
117,70-79,80453.66748770796
117,80+,60842.59502714308
118,50-59,31066.566591332037
118,60-69,104266.79461979843
118,70-79,79673.46226348086
118,80+,67108.36586382682
119,50-59,35858.78538752287
119,60-69,79510.04833666129
119,70-79,84036.84161512442
119,80+,62719.23973431171
120,50-59,39254.20054385698
120,60-69,138687.72544511288
120,70-79,88063.69900642078
120,80+,61317.50933508077
121,50-59,36946.165595473816
121,60-69,95674.64573758558
121,70-79,83818.39745717117
121,80+,63124.87376877807
122,50-59,34641.52430787631
122,60-69,118569.03784056279
122,70-79,90876.73713982053
122,80+,63101.407079672856
123,50-59,31634.06728907704
123,60-69,91430.45895893055
123,70-79,77524.46090576476
123,80+,59596.40988108009
124,50-59,33066.423642721726
124,60-69,73605.95361410036
124,70-79,75603.88002306879
124,80+,64729.97035154253
125,50-59,31731.081049923567
125,60-69,98415.51974502341
125,70-79,80405.23524923324
125,80+,61649.5171302247
126,50-59,35882.239554498905
126,60-69,91847.99004545952
126,70-79,76718.30111465983
126,80+,64213.60404259097
127,50-59,35576.34752848375
127,60-69,96917.04323599291
127,70-79,79826.0519412501
127,80+,61271.66198061261
128,50-59,33477.575547267836
128,60-69,76766.43640526154
128,70-79,83615.21362220733
128,80+,61246.42424361511
129,50-59,30606.77373043013
129,60-69,115321.45772245804
129,70-79,86026.75887606219
129,80+,63565.10950565554
130,50-59,35908.231687452295
130,60-69,82201.24166541053
130,70-79,83928.83919060935
130,80+,66949.52124453441
131,50-59,32292.217613472138
131,60-69,106357.24826972099
131,70-79,80087.85829929165
131,80+,60275.087115985014
132,50-59,32932.82081170533
132,60-69,98520.21030224123
132,70-79,84130.85223427477
132,80+,59930.098089424944
133,50-59,32030.565316311204
133,60-69,102908.23903481087
133,70-79,88426.26801404315
133,80+,60747.51680286301
134,50-59,33088.06003621989
134,60-69,82870.20814498317
134,70-79,81807.18833985132
134,80+,62416.496817900625
135,50-59,34574.97228842645
135,60-69,117895.67334223
135,70-79,90156.82547423383
135,80+,63467.21641537805
136,50-59,34634.586382038775
136,60-69,119249.93072982469
136,70-79,83983.52122643666
136,80+,67664.23397585141
137,50-59,35769.53460446947
137,60-69,53022.554403692746
137,70-79,80656.63509954108
137,80+,63957.966743265686
138,50-59,37687.02995718214
138,60-69,113711.05322855352
138,70-79,80419.6085279083
138,80+,59938.85689393138
139,50-59,31705.336792679867
139,60-69,70927.79569837938
139,70-79,80876.73836388475
139,80+,62793.11529696728
140,50-59,37077.094154215076
140,60-69,106312.48073244888
140,70-79,85352.96244853837
140,80+,59597.88239262669
141,50-59,36864.01141294202
141,60-69,63149.984159940366
141,70-79,81521.27440554026
141,80+,64890.476673777164
142,50-59,34347.133367058
142,60-69,61551.935995266394
142,70-79,83113.6818505495
142,80+,62872.330043928785
143,50-59,34072.17075768172
143,60-69,106623.98191090036
143,70-79,84949.61394668817
143,80+,62729.28520506738
144,50-59,36523.52483807622
144,60-69,101145.31039875382
144,70-79,87687.38683328364
144,80+,62146.8494773824
145,50-59,35285.08758631601
145,60-69,71578.26250643304
145,70-79,86318.98546951567
145,80+,62526.25534896075
146,50-59,31628.98954684984
146,60-69,93118.43282681187
146,70-79,79049.58897842778
146,80+,64114.38163401159
147,50-59,33927.70197825521
147,60-69,101744.87631886135
147,70-79,78375.3384180962
147,80+,64895.638457453424
148,50-59,34079.66680572703
148,60-69,56653.21891021105
148,70-79,85439.35932148136
148,80+,62647.72496740591
149,50-59,34777.2517860901
149,60-69,94834.53491015526
149,70-79,80201.96476256731
149,80+,60011.81832035395
150,50-59,31069.653587877394
150,60-69,114485.4738655907
150,70-79,85140.69925359299
150,80+,62486.39991286949
151,50-59,33249.060062744225
151,60-69,106961.9779942874
151,70-79,83944.58090743999
151,80+,64538.97981412902
152,50-59,35948.28685845825
152,60-69,98771.52572116468
152,70-79,81711.61505471528
152,80+,63736.987535729204
153,50-59,37528.29503574561
153,60-69,118922.60254027319
153,70-79,83328.36280747573
153,80+,59217.15070875284
154,50-59,38020.559836095235
154,60-69,77324.39139655637
154,70-79,83728.51728714116
154,80+,67731.8586371903
155,50-59,33136.34334929015
155,60-69,77571.47714792528
155,70-79,82159.75289300868
155,80+,63413.315971261414
156,50-59,36212.37856825375
156,60-69,100972.70028048054
156,70-79,86149.73604970191
156,80+,61857.19166771985
157,50-59,34835.59170216108
157,60-69,51253.63240356149
157,70-79,81281.00899327351
157,80+,67891.75100319885
158,50-59,35792.55600355069
158,60-69,87873.18199426387
158,70-79,77446.45457683786
158,80+,58027.489332589925
159,50-59,34274.42108270081
159,60-69,92036.50251605346
159,70-79,83033.33201922842
159,80+,64831.687741958514
160,50-59,28856.660008839113
160,60-69,96843.27965777618
160,70-79,86873.15190991943
160,80+,59128.19350139702
161,50-59,35905.09694118301
161,60-69,95684.82522185403
161,70-79,80641.64302255861
161,80+,61266.65190291902
162,50-59,35362.3011483743
162,60-69,80509.03967061304
162,70-79,84419.2950933727
162,80+,62978.34772034088
163,50-59,34045.211819952885
163,60-69,82608.80761288299
163,70-79,81858.11030612336
163,80+,63240.37687423189
164,50-59,38430.79119357294
164,60-69,102224.3092841807
164,70-79,84769.32531929764
164,80+,63410.04090253256
165,50-59,31582.32859758433
165,60-69,107923.42306054063
165,70-79,80958.11411413108
165,80+,62288.73082691051
166,50-59,37951.0632244035
166,60-69,106479.2518925757
166,70-79,87397.48139093723
166,80+,62926.39074580844
167,50-59,35408.916025654195
167,60-69,125712.34261771318
167,70-79,86097.83982585835
167,80+,63706.94788582169
168,50-59,37204.846937766415
168,60-69,93540.78244790316
168,70-79,83024.83360491428
168,80+,61847.52943917085
169,50-59,38773.33674524937
169,60-69,78736.87742267248
169,70-79,83140.1649206754
169,80+,64471.73928379451
170,50-59,35012.807797296024
170,60-69,63397.65987581584
170,70-79,84189.01682368277
170,80+,65088.380490021445
171,50-59,37854.6385151783
171,60-69,91622.9479130328
171,70-79,84393.99371719538
171,80+,65783.99027628149
172,50-59,39519.81732703836
172,60-69,89299.58781796502
172,70-79,86555.0714950347
172,80+,63227.18570168947
173,50-59,27882.764216235137
173,60-69,109430.08032733294
173,70-79,86681.66081788206
173,80+,62703.719790760515
174,50-59,36937.492394205154
174,60-69,69368.25926566278
174,70-79,82427.16041568051
174,80+,61980.81896004481
175,50-59,34971.27277122192
175,60-69,93055.78048243685
175,70-79,77934.75850178381
175,80+,63706.757482438545
176,50-59,36248.07403653367
176,60-69,99343.86179352827
176,70-79,78689.61820533223
176,80+,61799.75796347145
177,50-59,32333.808675411186
177,60-69,93263.35607000777
177,70-79,85112.48152444366
177,80+,58487.26784564566
178,50-59,33204.29174808658
178,60-69,111772.53555370307
178,70-79,79444.12504706453
178,80+,65861.3498782191
179,50-59,29616.469756413448
179,60-69,100875.94687855641
179,70-79,88717.95225930645
179,80+,66835.21243894685
180,50-59,32710.79896334418
180,60-69,133796.51415209306
180,70-79,82112.62503815342
180,80+,62940.85211550135
181,50-59,34852.81691989231
181,60-69,114086.33755414459
181,70-79,85418.56475523737
181,80+,60939.34922804058
182,50-59,36351.385484175014
182,60-69,67614.6540127367
182,70-79,84197.19310798001
182,80+,64912.34374919878
183,50-59,38521.83544179548
183,60-69,87473.59933504417
183,70-79,78784.91293955738
183,80+,62661.29971218829
184,50-59,32877.14779096164
184,60-69,103861.89686956932
184,70-79,85572.64529009974
184,80+,60953.462004707166
185,50-59,29536.277166466312
185,60-69,93768.33456824339
185,70-79,77976.10177925101
185,80+,65394.719202601394
186,50-59,37925.115231733056
186,60-69,106376.97070187281
186,70-79,79310.94497721856
186,80+,61560.54061341477
187,50-59,39448.323894998444
187,60-69,114364.12515654971
187,70-79,77617.35180794694
187,80+,65658.80818909168
188,50-59,25787.653876436212
188,60-69,112127.40148738938
188,70-79,82992.9877289317
188,80+,60589.15727223581
189,50-59,33608.64383750606
189,60-69,121839.29130945526
189,70-79,82328.91374465926
189,80+,63658.64570661506
190,50-59,37628.93679104768
190,60-69,105639.90885410027
190,70-79,85891.38565475216
190,80+,66923.06165665221
191,50-59,37272.955847888516
191,60-69,122155.72132967802
191,70-79,80366.78936087528
191,80+,61340.540564963114
192,50-59,34685.57920119423
192,60-69,120923.69450675427
192,70-79,78141.46627143423
192,80+,67353.5297915092
193,50-59,37670.54054748925
193,60-69,117071.81068570913
193,70-79,86964.34560976796
193,80+,60763.64650422777
194,50-59,35517.23066661726
194,60-69,108469.2054948904
194,70-79,83681.92947451716
194,80+,63989.109561563164
195,50-59,34873.800154276134
195,60-69,86706.1876366215
195,70-79,83279.75317655387
195,80+,64065.47754666325
196,50-59,35434.17104572004
196,60-69,136933.03506300898
196,70-79,83729.22806670918
196,80+,66437.85971944079
197,50-59,33438.45760057821
197,60-69,108488.74097261712
197,70-79,83909.7162227135
197,80+,65402.35476876117
198,50-59,30482.39012822729
198,60-69,93518.35126555277
198,70-79,77660.78484045035
198,80+,68507.30863855495
199,50-59,28283.476240721735
199,60-69,88794.12618331067
199,70-79,82642.76640828223
199,80+,64177.90156675121
200,50-59,35054.11283592637
200,60-69,77897.68205756492
200,70-79,76412.41691924522
200,80+,61583.88584474158
201,50-59,37288.00103315577
201,60-69,135011.60396707678
201,70-79,90230.13213594994
201,80+,59595.88126130299
202,50-59,36485.50036062534
202,60-69,97909.45612372886
202,70-79,87322.69497621765
202,80+,62462.391954603074
203,50-59,39790.45536086628
203,60-69,102712.25430138875
203,70-79,84815.04560819585
203,80+,61292.92000749911
204,50-59,34716.11282623369
204,60-69,73473.80025176163
204,70-79,79768.81835108141
204,80+,66950.94840540682
205,50-59,33352.82262792636
205,60-69,116878.38351951007
205,70-79,84645.59244948185
205,80+,58178.732184901404
206,50-59,31522.448594099493
206,60-69,85898.06829282622
206,70-79,81148.1038926724
206,80+,58889.48192663119
207,50-59,35302.18254072853
207,60-69,82673.9991952493
207,70-79,80475.76145146576
207,80+,60734.75666579535
208,50-59,28891.51307932669
208,60-69,87755.96836550637
208,70-79,76604.77181092459
208,80+,64891.79569539366
209,50-59,36246.65863704519
209,60-69,108429.48772267805
209,70-79,85916.67824931256
209,80+,61351.54183568371
210,50-59,38668.54874317317
210,60-69,111482.87091412397
210,70-79,85162.18831491403
210,80+,66812.15561677635
211,50-59,29477.26008831327
211,60-69,92514.97886224132
211,70-79,86579.48379417839
211,80+,63935.51812201027
212,50-59,32797.79465627539
212,60-69,102171.1124930005
212,70-79,86405.29808856388
212,80+,69457.70501639356
213,50-59,30752.36122747716
213,60-69,71396.06594183788
213,70-79,84553.81783108615
213,80+,64428.36019523895
214,50-59,27746.770416491247
214,60-69,73250.34215004495
214,70-79,81676.21558184364
214,80+,63181.93124175928
215,50-59,34081.926606885485
215,60-69,78534.5253937592
215,70-79,83808.82296268284
215,80+,67307.97356420684
216,50-59,31589.939172828934
216,60-69,71223.10219653726
216,70-79,81356.65525726123
216,80+,63319.08255840721
217,50-59,31967.602122076354
217,60-69,109739.37246126017
217,70-79,81221.8171732048
217,80+,59990.063779294695
218,50-59,33989.31234425888
218,60-69,73964.78067563522
218,70-79,87824.05974416232
218,80+,63245.158796695185
219,50-59,32945.28673568128
219,60-69,109543.07494417026
219,70-79,79881.82953164757
219,80+,61332.79652494748
220,50-59,32171.895598068364
220,60-69,78550.62973206965
220,70-79,84850.94536920406
220,80+,64210.34723400319
221,50-59,36035.5217604656
221,60-69,128935.16129369503
221,70-79,81385.82315021574
221,80+,63264.66566425457
222,50-59,30741.44053848949
222,60-69,114168.37428511653
222,70-79,88176.95250748048
222,80+,56634.23097580412
223,50-59,42648.55903940463
223,60-69,70020.68016420031
223,70-79,82479.5890846371
223,80+,64667.57386414073
224,50-59,31243.859807840923
224,60-69,86630.91555426686
224,70-79,79530.04788227474
224,80+,60409.65346082379
225,50-59,30490.000476414443
225,60-69,70271.95589537096
225,70-79,87492.90882241407
225,80+,58103.767553544065
226,50-59,32050.048762253467
226,60-69,110411.60155191254
226,70-79,87543.25949561957
226,80+,64550.36909508429
227,50-59,35840.27284483167
227,60-69,122663.54792012993
227,70-79,81872.49517246189
227,80+,63225.35355991234
228,50-59,34539.28723748287
228,60-69,88110.39760205388
228,70-79,89792.07530647042
228,80+,65069.078533201086
229,50-59,34866.57947155494
229,60-69,126428.66474384184
229,70-79,81147.65239650085
229,80+,60455.21829086106
230,50-59,36267.64535166338
230,60-69,69624.74087918118
230,70-79,84154.47170471943
230,80+,56381.55966599117
231,50-59,36624.34428756645
231,60-69,90120.42916283115
231,70-79,85672.55054394637
231,80+,66060.83878386315
232,50-59,38329.779744037725
232,60-69,85240.52198931339
232,70-79,77477.93369943845
232,80+,61409.952800412466
233,50-59,27687.35477634654
233,60-69,85884.0742311679
233,70-79,84938.11414776799
233,80+,61167.806517512225
234,50-59,32852.71884784306
234,60-69,91872.1217507837
234,70-79,86357.32840292339
234,80+,59917.74136499841
235,50-59,30769.519733629048
235,60-69,75821.91329322672
235,70-79,87629.73531733792
235,80+,63658.02161601658
236,50-59,30811.887783598395
236,60-69,113752.34085032283
236,70-79,77237.55349849066
236,80+,64106.35781006679
237,50-59,38952.196235078314
237,60-69,99362.72997437342
237,70-79,74530.8727995575
237,80+,65499.03351644753
238,50-59,36364.01139445861
238,60-69,73003.74372729624
238,70-79,89288.74643646798
238,80+,61358.24276563269
239,50-59,36700.34145129633
239,60-69,122523.46217259052
239,70-79,83413.38809872429
239,80+,63876.734760161686
240,50-59,29541.62500222933
240,60-69,120805.38945455824
240,70-79,88366.2979355634
240,80+,64362.84032673393
241,50-59,37655.218522342744
241,60-69,107051.90852698045
241,70-79,83936.16788336338
241,80+,66588.67840948325
242,50-59,41198.72011590761
242,60-69,71128.77495470468
242,70-79,79918.37330942777
242,80+,61018.05152442927
243,50-59,33545.221622817255
243,60-69,104335.87009559694
243,70-79,81387.06213332897
243,80+,65582.50864658007
244,50-59,36299.24528047107
244,60-69,98446.86003110935
244,70-79,73026.9142718821
244,80+,66746.87996938275
245,50-59,31048.161166393387
245,60-69,95780.09623760027
245,70-79,82297.31679033498
245,80+,62488.31081246366
246,50-59,35901.334204417246
246,60-69,101310.074822822
246,70-79,81949.95173585929
246,80+,64884.317908557925
247,50-59,36135.59171334852
247,60-69,96497.04966292238
247,70-79,76846.9973043973
247,80+,59089.73237972293
248,50-59,28877.40849567344
248,60-69,131153.1999744579
248,70-79,85728.5953152423
248,80+,64718.702167831936
249,50-59,38658.2747246679
249,60-69,86437.09911372667
249,70-79,82930.8134529745
249,80+,62530.4288386797
250,50-59,39669.62098976988
250,60-69,113076.58293208494
250,70-79,86179.37487865098
250,80+,65838.39283249971
251,50-59,32092.162045866717
251,60-69,105064.14224169897
251,70-79,77067.26153701493
251,80+,63261.4316266614
252,50-59,40176.738483594774
252,60-69,108285.6112038922
252,70-79,85345.34013221295
252,80+,65511.94898003507
253,50-59,29836.566456989935
253,60-69,93860.55521063335
253,70-79,76191.04391254959
253,80+,62955.33520729651
254,50-59,36177.66646219122
254,60-69,127407.20203837623
254,70-79,83341.62125483078
254,80+,67437.23932797668
